"","SNnew","Attitude","PBC","BI"
"Attitude1",0,0.178103978525883,0,0
"Attitude2",0,0.854900446671456,0,0
"Attitude3",0,0.231541699608305,0,0
"Attitude4",0,0.876208863578795,0,0
"Attitude5",0,0.134270463589946,0,0
"Attitude6",0,0.876943383936337,0,0
"Attitude7",0,0.0161346649906409,0,0
"Attitude8",0,0.77751322235089,0,0
"BI1",0,0,0,0.474526337490924
"BI2",0,0,0,0.841033872375869
"BI3",0,0,0,0.314559933493046
"BI4",0,0,0,0.844946257381012
"BI5",0,0,0,0.453108047804859
"BI6",0,0,0,0.860018874116422
"PBC1",0,0,0.191942456716698,0
"PBC2",0,0,0.766157551438091,0
"PBC3",0,0,0.346226519262655,0
"PBC4",0,0,0.864742939185725,0
"PBC5",0,0,0.217742514890758,0
"PBC6",0,0,0.896546665658575,0
"SNnew1",0.909802017522487,0,0,0
"SNnew2",0.882725326682564,0,0,0
